cri,eff,label,year
97.03849313,334.5594584,PFS,2015
85.10020625,291.3922514,YAG:Ce,1997
91.72437373,312.4276573,QD,2019
91.71504544,296.9998187,QD,2017
82.57882807,322.18252,SLA,2014
90.21233055,286.2526268,Eu,2004
90.58753105,340.5067852,SALON,2019
