year,cost
2002,0.143
2007,0.03075
2009,0.0295
2010,0.01534
2011,0.01482
2012,0.01008
2013,0.0066
2014,0.00432
2005,0.08128
2006,0.05969
2019,0.00088
2015,0.001498
2016,0.000963
