year,optics,assembly,driver,mech,package,electrical,overhead
2009,5,5,20,30,40,0,0
2010,10,5,20,15,50,0,0
2011,7,3,20,18,52,0,0
2012,11,5,15,15,39,10,5
2013,10,5,15,19,35,11,5
2014,5,13,26,18,23,0,15
2015,5,13,26,18,23,0,15
2016,5,16,20,26,18,0,15
2018,5,17,20,29,14,0,15
2020,6,18,19,32,10,0,15
