year,pack,subst,epi,wafer,phos
2003,0,0,0,0,0
2004,0,0,0,0,0
2005,0,0,0,0,0
2006,0,0,0,0,0
2007,0,0,0,0,0
2008,65,9,8,3,15
2009,64,11,11,12,2
2010,40,10,20,20,10
2011,54,15,12,12,7
2012,58,14,11,10,7
2013,63,12,9,8,8
2014,61,7,11,13,8
2015,30,11,23,28,8
2016,26,7,30,29,8
