date,cdf
2016-04-06,20
2016-04-06,16
2016-04-06,13
2016-04-06,23
2016-04-06,21
2016-04-06,18
2016-04-06,91
2016-04-06,57
2016-04-06,39
2016-04-07,48
2016-04-07,1
2016-04-07,29
2016-04-07,38
2016-04-07,1
2016-04-07,14
2016-04-08,23
2016-04-08,18
2016-04-11,3
2016-04-11,6
2016-04-11,28
2016-04-11,1
2016-04-11,31
2016-04-11,46
2016-04-11,1
2016-04-11,1
2016-04-11,1
2016-04-11,1
2016-04-11,1
2016-04-11,1
2016-04-11,1
2016-04-11,30
2016-04-15,3
2016-04-15,5
2016-04-15,4
2016-04-15,17
2016-04-15,4
2016-04-15,2
2016-04-15,24
2016-04-15,11
2016-04-15,13
2016-04-15,11
2016-04-18,40
2016-04-18,86
2016-04-18,1
2016-04-18,39
2016-04-18,1
2016-04-18,1
2016-04-23,4
2016-04-23,5
2016-04-23,1
2016-04-23,1
2016-04-23,14
2016-04-23,14
2016-04-23,1
2016-04-23,1
2016-04-23,1
2016-05-02,9
2016-05-03,18
2016-05-03,17
2016-05-03,16
2016-05-03,17
2016-05-09,33
2016-05-09,32
2016-05-09,33
2016-05-09,6
2016-05-09,25
2016-05-09,35
2016-05-09,51
2016-05-09,30
2016-05-17,29
2016-05-18,92
2016-05-27,1
2016-06-03,1
2016-06-15,1
2016-06-18,1
2016-06-18,1
2016-06-18,1
2016-06-18,1
2016-06-24,1
2016-06-24,1
2016-06-24,1
2016-06-24,1
2016-06-24,1
2016-06-24,1
2016-06-24,1
2016-06-24,20
2016-06-27,1
2016-06-27,1
2016-06-27,1
2016-06-27,1
2016-06-27,1
2016-06-27,1
2016-06-27,1
2016-07-13,130
2016-07-13,128
2016-07-14,114
2016-07-14,131
2016-07-18,33
2016-07-18,30
2016-07-18,1
2016-07-18,1
2016-07-18,1
2016-07-18,4
2016-07-18,6
2016-07-18,1
2016-07-18,4
2016-07-18,3
2016-07-27,92
2016-08-15,17
2016-08-19,30
2016-08-24,1
2016-08-25,50
2016-08-25,32
2016-08-25,41
2016-08-30,1
2016-09-20,29
2016-09-20,20
2016-09-24,1
2016-09-24,1
2016-09-24,3
2016-09-24,1
2016-09-24,1
2016-09-24,1
2016-10-18,1
2016-10-18,1
2016-10-18,1
2016-10-19,3
2016-10-21,18
2016-10-21,131
2016-11-03,134
2016-11-04,1
2016-11-10,46
2016-11-10,47
2016-11-10,1
2016-11-10,1
2016-11-11,15
2016-11-11,86
2016-11-12,16
2016-11-12,29
2016-11-12,42
2016-11-12,16
2016-11-12,28
2016-11-12,26
2016-11-12,1
2016-11-12,1
2016-11-12,1
2016-11-27,1
2016-12-05,25
2016-12-05,29
2016-12-05,1
2016-12-13,137
2016-12-13,1
2017-01-13,24
2017-01-13,42
2017-01-21,92
2017-02-01,1
2017-02-01,56
2017-02-01,57
2017-02-01,15
2017-02-01,19
2017-02-01,32
2017-02-01,33
2017-02-13,18
2017-02-14,57
2017-02-14,23
2017-02-14,1
2017-02-14,7
2017-02-14,8
2017-02-15,30
2017-02-17,1
2017-02-25,6
2017-02-25,1
2017-03-03,112
2017-03-09,30
2017-03-09,28
2017-03-09,6
2017-03-09,6
2017-03-21,116
2017-04-27,5
2017-04-28,37
2017-04-28,18
2017-04-28,3
2017-04-28,56
2017-04-28,63
2017-05-08,28
2017-05-08,46
2017-05-10,1
2017-05-17,1
2017-05-18,65
2017-05-25,1
2017-05-25,2
2017-05-27,1
2017-05-29,132
2017-06-07,131
2017-06-07,1
2017-06-10,47
2017-07-12,1
2017-07-12,1
2017-07-12,3
2017-07-12,129
2017-07-12,1
2017-07-12,1
2017-07-13,1
2017-07-13,1
2017-07-13,1
2017-07-13,1
2017-07-13,4
2017-07-13,1
2017-07-13,1
2017-07-13,1
