index,y,label
0,0.9375,1W
1,0.8875,-0.040
2,0.7725,-0.115
3,0.6885,-0.084
4,0.5885,-0.100
5,0.5835,-0.005
6,0.5335,-0.050
7,0.4205,-0.113
8,0.3765,-0.044
9,0.3745,-0.002
10,0.3565,-0.018
11,0.3435,-0.013
12,0.2525,-0.091
13,0.33,0.326W
