index,y,label
0,0.9575,
1,0.9175,4\%
2,0.8025,12\%
3,0.7185,10\%
4,0.6185,13\%
5,0.6135,12\%
6,0.5635,11\%
7,0.4505,28\%
8,0.4065,15\%
9,0.4045,1\%
10,0.3865,11\%
11,0.3735,9\%
12,0.2825,22\%
13,0.6084,
