i,flux
104,0.337945665
112,0.364035484
120,0.390125303
128,0.416215122
136,0.442304941
144,0.46839476
152,0.494484579
160,0.520574398
168,0.546664217
176,0.572754036
184,0.598843855
192,0.624933674
200,0.651023493
208,0.677113312
216,0.703203131
224,0.72929295
232,0.755382769
240,0.781472588
248,0.807562407
256,0.833652226
264,0.859742045
272,0.885831864
280,0.911921683
288,0.938011502
296,0.964101321
304,0.99019114
312,1.016280959
320,1.042370778
328,1.068460597
336,1.094550416
344,1.120640235
