i,flux
99.35851535,0.319260214
111.9565612,0.356288793
124,0.386755471
136,0.418594998
148,0.459961325
160,0.489083057
172,0.521852026
184,0.562564054
196,0.593138426
208,0.62298513
220,0.661653149
232,0.687308932
244,0.715453684
256,0.750364679
268,0.7812445
280,0.810312573
292,0.843537931
304,0.873728539
316,0.904018169
328,0.937312757
340,0.970445174
352,0.997816659
363.8462021,1.02677819
376,1.054388541
388,1.08478641
400,1.108809113
412,1.137819757
424,1.168753926
436,1.195857417
448,1.21994566
460,1.251485653
472,1.280424846
484,1.306010995
493.6260712,1.332834511
508.148571,1.362082449
520,1.388549132
532,1.413713966
544,1.438622717
556,1.459523386
568,1.487069439
580,1.511164766
592,1.53794804
604,1.566151252
616,1.58808602
628,1.613832616
640,1.637958088
652,1.663748806
664,1.689328581
679.5299079,1.722781945
700,1.768763962
