i,flux
39.7284458,0.102189865
41.49722603,0.10885312
45.28057764,0.123105561
47.42285136,0.131175821
51.53756921,0.146676568
53.97586805,0.155861998
58.60270459,0.173291971
61.68338978,0.184897365
71.06407003,0.220235767
77.11411606,0.243027179
81.87134442,0.260948357
89.22778422,0.288661147
95.08828515,0.310738516
103.1001977,0.340920568
110.8865145,0.370252768
117.8224624,0.396381502
124.6869015,0.422240853
132.4860631,0.451621441
140.7730619,0.482839784
149.5784123,0.516010833
159.5786936,0.553683362
170.2475582,0.593874543
181.6297051,0.636752763
195.1887521,0.687831686
209.2515689,0.740808384
224.1461756,0.796918556
240.1009861,0.857022672
258.2338548,0.925331853
277.7361511,0.99879987
298.7112968,1.077816326
321.2705241,1.162800251
346.9339018,1.259477967
376.1657266,1.369598547
407.8605553,1.488997624
442.2259148,1.618456984
481.4301623,1.766145146
526.2341486,1.934928347
575.2077888,2.119419248
628.7391292,2.321079674
687.2523292,2.541507498
751.2110221,2.782449294
821.1219895,3.045814183
897.5391757,3.333688954
980.1866516,3.645034142
