i,flux
20,0.057383259
40,0.121623383
60,0.185863507
80,0.250103631
100,0.314343755
120,0.378583879
140,0.442824003
160,0.507064128
180,0.571304252
200,0.635544376
220,0.6997845
240,0.764024624
260,0.828264748
280,0.892504872
300,0.956744996
320,1.02098512
340,1.085225244
360,1.149465368
380,1.213705492
400,1.277945616
420,1.34218574
440,1.406425864
460,1.470665988
480,1.534906113
500,1.599146237
520,1.663386361
540,1.727626485
560,1.791866609
580,1.856106733
600,1.920346857
620,1.984586981
640,2.048827105
660,2.113067229
680,2.177307353
700,2.241547477
720,2.305787601
740,2.370027725
760,2.434267849
780,2.498507974
800,2.562748098
820,2.626988222
840,2.691228346
860,2.75546847
880,2.819708594
900,2.883948718
920,2.948188842
940,3.012428966
960,3.07666909
980,3.140909214
