i,flux
48.12823869,0.236311239
69,0.29889357
88,0.355863572
107,0.412833574
126,0.469803576
145,0.526773578
164,0.58374358
183,0.640713582
202,0.697683584
221,0.754653586
240,0.811623588
259,0.86859359
278,0.925563592
297,0.982533594
316,1.039503596
335,1.096473598
354,1.153443601
373,1.210413603
392,1.267383605
411,1.324353607
430,1.381323609
449,1.438293611
468,1.495263613
487,1.552233615
506,1.609203617
525,1.666173619
544,1.723143621
563,1.780113623
582,1.837083625
601,1.894053627
620,1.951023629
639,2.007993631
658,2.064963633
677,2.121933635
696,2.178903637
715,2.235873639
734,2.292843641
753,2.349813643
772,2.406783645
791,2.463753647
810,2.520723649
829,2.577693651
848,2.634663653
867,2.691633656
886,2.748603658
905,2.80557366
924,2.862543662
943,2.919513664
962,2.976483666
981,3.033453668
