flux,eff
40,13.33333333
68,13.6
142,14.2
222,14.8
307,15.35
399,15.96
496,16.53333333
599,17.11428571
707,17.675
942,18.84
1200,20
1481,21.15714286
1786,22.325
2113,23.47777778
2464,24.64
