flux,eff1,eff2
960,16.14947898,21.53263865
1000,16.27010066,21.69346755
1050,16.4133777,21.8845036
1100,16.5490584,22.06541119
1150,16.67783319,22.23711092
1200,16.80030484,22.40040645
1250,16.91700251,22.55600334
1300,17.02839319,22.70452425
1350,17.13489096,22.84652127
1400,17.23686461,22.98248615
1450,17.33464395,23.11285861
1500,17.42852506,23.23803341
