flux,eff
22,7.333333333
38,7.6
81,8.1
130,8.666666667
185,9.25
246,9.84
312,10.4
385,11
463,11.575
637,12.74
834,13.9
1054,15.05714286
1297,16.2125
1563,17.36666667
1853,18.53
