year,eff,max,min
2013,75.22307692,10.47692308,5.323076923
2014,75.19285714,18.90714286,12.69285714
2015,79.09543379,35.50456621,18.79543379
2016,82.25637343,41.94362657,33.45637343
2017,83.9223066,55.0776934,38.4223066
2018,84.84053471,60.65946529,24.84053471
2019,91.0450762,58.9549238,26.0450762
