year,price
2000,13413.27204
2001,13040.5747
2002,14914.12137
2003,17475.57729
2004,19665.77299
2005,18936.24789
2006,25717.98794
2007,29664.80788
2008,37091.61958
2009,40316.9778
2010,46587.65033
2011,59638.26247
2012,63469.9829
2013,53682.02379
2014,48181.03902
2015,40008.65259
2016,43070.36375
2017,43379.97499
2018,43758.38873
2019,48161.7486
