year,price
2000,26313.96547
2001,25547.01374
2002,25991.08885
2003,33267.02246
2004,40814.67064
2005,38174.23653
2006,48567.9534
2007,55528.78572
2008,66979.65619
2009,50375.00279
2010,61290.83417
2011,65424.16032
2012,59008.11518
2013,56511.04747
2014,54630.46944
2015,36330.81506
2016,34040.72391
2017,32723.50009
2018,30364.60644
2019,29241.06165
