year,price
2000,8.90424
2001,9.11284
2002,8.59283
2003,7.85528
2004,8.0162
2005,10.56924
2006,10.79892
2007,10.99692
2008,14.62296
2009,13.2
2010,13.36114
2011,16.6262
2012,15.73294
2013,13.15346
2014,12.82188
2015,12.18302
2016,10.51489
2017,10.35974
2018,12.13808
2019,11.77
