year,price
2000,12.21748
2001,17.92025
2002,12.81227
2003,12.01387
2004,15.57945
2005,38.83693
2006,46.56887
2007,43.95369
2008,41.40098
2009,30.43528
2010,31.47127
2011,52.74577
2012,62.72319
2013,50.78845
2014,47.02793
2015,43.20875
2016,39.96411
2017,36.0448
2018,30.3
