year,price
2000,1.826395393
2001,1.445348872
2002,1.267965147
2003,1.333662823
2004,1.740988414
2005,1.952676026
2006,4.624146358
2007,4.49319193
2008,2.587077478
2009,2.269876752
2010,2.653480632
2011,2.762741599
2012,2.492190633
2013,2.48698773
2014,2.79656047
2015,2.252790947
2016,2.391968608
2017,3.286008156
2018,3.326110194
2019,2.94867925
