year,price
2000,251.4988508
2001,210.3009438
2002,221.3189887
2003,235.2113061
2004,351.6193456
2005,303.4383066
2006,491.0183507
2007,569.1059708
2008,636.58386
2009,623.4277936
2010,766.3440852
2011,1337.687745
2012,1184.039549
2013,902.9202588
2014,721.9568288
2015,540.7876343
2016,591.7014828
2017,541.8196718
2018,557.3002338
2019,829.7581259
