year,price
2000,271.9883786
2001,235.1976801
2002,232.2412847
2003,265.0901227
2004,420.4651264
2005,485.4044131
2006,887.2890022
2007,939.3797635
2008,916.680996
2009,669.322632
2010,888.9160117
2011,1040.06035
2012,938.083447
2013,864.4623667
2014,819.457254
2015,588.5563783
2016,520.382914
2017,659.3246803
2018,698.2472464
2019,636.914718
