year,cost
2002,143
2007,30.75
2009,29.5
2010,15.34
2011,14.82
2012,10.08
2013,6.6
2014,4.32
2005,81.28
2006,59.69
2019,0.88
2015,1.498
2016,0.963

2017,1.177
2018,0.963
2019,0.88
2020,0.5
