index,label,position
0,0.012,0.0127
1,0.014,0.0265
2,0.002,0.0288
3,,0.0288
4,,0.0288
5,0.020,0.0490
6,0.003,0.0523
7,0.001,0.0531
8,,0.0531
9,,0.0531
10,,0.0531
11,0.000,0.0534
12,0.053,0.0534
