index,label,position
0,0.037,0.0380
1,0.014,0.0519
2,0.004,0.0561
3,,0.0561
4,,0.0561
5,0.041,0.0971
6,0.010,0.1072
7,0.001,0.1086
8,,0.1086
9,,0.1086
10,,0.1086
11,0.002,0.1105
12,0.110,0.1105
