index,label,position
0,0.0001,0.0002
1,0.0041,0.0043
2,0.0002,0.0045
3,0.0002,0.0047
4,0.0000,0.0047
5,0.0012,0.0060
6,0.0001,0.0061
7,0.0001,0.0062
8,0.0002,0.0064
9,0.0003,0.0067
10,0.0012,0.0079
11,,0.0079
12,0.0023,0.0102
13,,0.0102
14,0.0010,0.0112
15,0.0004,0.0116
16,0.0003,0.0119
17,0.0001,0.0120
18,0.0119,0.0120
