index,label,position
0,0.001,0.0019
1,0.008,0.0103
2,0.001,0.0109
3,0.001,0.0115
4,0.000,0.0118
5,0.005,0.0168
6,0.001,0.0176
7,0.000,0.0180
8,0.001,0.0191
9,0.001,0.0202
10,0.003,0.0234
11,,0.0234
12,0.005,0.0282
13,,0.0282
14,0.005,0.0333
15,0.002,0.0351
16,0.001,0.0363
17,0.001,0.0372
18,0.036,0.0372
