index,label,position
0,0.975,0.9952
1,0.017,1.0118
2,0.007,1.0185
3,,1.0185
4,,1.0185
5,0.074,1.0924
6,0.018,1.1099
7,0.001,1.1106
8,,1.1106
9,,1.1106
10,,1.1106
11,0.023,1.1331
12,1.113,1.1331
