index,y,label
0,0.9575,
1,0.9525,4\%
2,0.8530,12\%
3,0.7635,10\%
4,0.6829,13\%
5,0.6772,12\%
6,0.6278,11\%
7,0.5023,28\%
8,0.4583,15\%
9,0.4563,1\%
10,0.4366,11\%
11,0.4237,9\%
12,0.3443,22\%
13,0.7320,
