index,y,label
0,0.9325,1W
1,0.9275,-0.005
2,0.8280,-0.100
3,0.7385,-0.090
4,0.6579,-0.081
5,0.6522,-0.006
6,0.6028,-0.049
7,0.4773,-0.125
8,0.4333,-0.044
9,0.4313,-0.002
10,0.4116,-0.020
11,0.3987,-0.013
12,0.3193,-0.079
13,0.3877,0.388W
