year,vf
2011, 3.1503248384571343
2011.5, 3.0509803577896966
2012, 2.9996780827520126
2012.5, 2.9994297799745273
2013, 2.949631927647492
2013.5, 2.899836996529604
2014, 2.8680571622205866
