index,zero,lower,upper,unit,labelheight,lower_par,upper_par
1,0,0.194413946,0.194413946,\$/m$^2$,-5,16.66666667,16.66666667
2,0,7.755953751,7.755953751,FTE,-5,50,50
3,0,6.441286259,6.441286259,\$,-5,25,25
4,0,24.9649881,62.06446809,\%,-5,15,25
5,0,5.654553204,5.008152929,\%/step,-5,80,80
6,0,23.79344829,22.33480765,UPH,-5,50,50
7,0,,1014.118666,mm,-5,50,0
8,0,16.5497334,,mm,-5,28.57142857,0
9,0,1.989836756,4.051164652,um,-5,25,50
10,0,,0.156547495,\$/kg,-5,0,50
11,0,0.456666873,0.456666873,\$/kWh,-5,50,50
12,0,0.965143164,0.965143164,\$,-5,12.5,12.5
13,0,0.393448731,0.786897463,\$/g,-5,50,100
