index,zero,lower,upper,unit,labelheight,lower_par,upper_par
1,0,0.048397696,0.275111473,\$/m$^2$,-5,16.66666667,16.66666667
2,0,0.682232667,1.070701028,FTE,-5,50,50
3,0,1.977199032,4.537100605,\$,-5,25,25
4,0,4.592872403,13.38106104,\%,-5,15,25
5,0,1.176992549,0.745116149,\%/step,-5,80,80
6,0,6.496283556,5.984753431,UPH,-5,50,50
7,0,0,12.56314235,mm,-5,25,0
8,0,0.285166469,1.200217302,mm,-5,20,40
9,0,0.257108584,2.997920341,um,-5,50,300
10,0,0,2.281622698,\$/kg,-5,0,50
11,0,0.052777956,0.300946771,\$/kWh,-5,50,50
12,0,0.086578915,0.357429261,\$,-5,33.33333333,66.66666667
13,0,0.741121663,1.09484639,\$/g,-5,50,100
