index,zero,lower,upper
1,0,0.194413946,0.194413946
2,0,7.755953751,7.755953751
3,0,6.441286259,6.441286259
4,0,62.06446809,24.9649881
5,0,5.654553204,5.008152929
6,0,1014.118666,
7,0,16.5497334,
8,0,1.989836756,4.051164652
9,0,,0.156547495
10,0,0.456666873,0.456666873
11,0,0.965143164,0.965143164
12,0,0.393448731,0.786897463
