eff,cri
72.2,83
72.2,83
70.8,82
70.8,82
70.8,83
70.8,84
70.8,83
70.8,84
70.8,83
70.8,86
70.8,83
70.8,83
70.8,84
70.8,85
70.3,84
70.3,83
70.3,85
70.3,84
72.7,83
72.7,86
70.6,84
84.2,81
83.3,82
106.7,82
106.7,82
75,84
100,84
70,82
75,82
91.7,83
88.9,83
100,84
106.7,83
80,80
88.9,83
106.7,82
77.3,83
65,82
78.6,83
72.2,82
75,81
83.3,81
73.1,81
93.3,82
83.3,81
106.7,81
106.7,84
70.7,84
80,84
80,84
114.3,83
84.4,83
85,82
71.9,81
70.1,82
72.2,83
78.3,83
71.4,82
67,82
86,84
75,82
75,82
75,81
75,81
75,82
75,82
76.9,82
76.9,82
76.9,83
76.9,83
76.9,83
76.9,83
76.9,80
76.9,80
76.9,82
76.9,82
76.9,82
76.9,82
80,83
80,83
80,83
80,82
80,82
80,82
80,83
80,83
80,83
100,82
90,86
77.8,82
87.1,84
87.1,83
78.3,82
83.3,82
78.3,82
83.3,82
78.3,82
83.3,82
78.3,82
83.3,82
74.4,82
76.1,83
74.4,82
76.1,83
74.4,82
76.1,83
74.4,82
76.1,83
88.9,82
106.7,82
80,85
80,82
106.7,81
76.9,82
76.9,82
76.9,83
82.5,82
82.5,82
64,81
70,85
81.8,83
84.2,83
87.9,83
109.7,81
70,81
80,82
79.4,83
80,83
80,85
88.9,84
88.9,85
88.9,84
88.9,84
76.9,83
76.9,83
76.9,81
76.9,83
88.9,83
88.9,83
88.9,85
48.8,82
65,82
48.8,83
48.8,83
48.8,83
48.8,83
48.8,85
48.8,84
82.5,81
82.5,82
72.7,84
76.9,83
76.9,84
70,83
76.9,82
76.9,84
76.9,83
79.2,82
79.2,83
83.3,85
80.8,82
78.6,83
81.3,84
81.3,83
91.8,81
90,82
106.7,81
106.7,81
95.7,82
82.5,82
82.5,82
82.5,82
64,81
84.2,83
94.1,83
85,81
85,81
85,81
84.2,81
84.2,81
84.2,81
84.2,81
84.2,85
100,83
100,85
106.7,83
100,82
70,82
88.9,82
88.9,82
106.7,83
106.7,85
100,84
100,85
70,82
70,83
65,82
65,82
75,84
66.7,82
75,83
66.7,82
88.9,82
88.9,85
84.2,86
106.7,83
70,82
78.6,84
78.6,83
77.3,83
85.3,83
91.2,83
89.6,84
93.3,85
88.8,86
88.8,86
94.1,82
94.1,85
70.3,82
70.3,85
84.2,82
84.2,83
88.9,82
88.9,83
78.9,83
83.1,82
83.1,82
95.7,86
95.7,86
95.7,86
95.7,86
83,82
83,82
90.4,86
90.4,86
98.8,86
98.8,86
110.6,86
110.6,86
73.9,84
100,81
87.3,81
95.3,82
95.3,85
86.2,82
84.2,81
100,83
100,85
67,82
67,82
82.5,82
67,82
70,82
71.9,81
95.7,82
70,81
71.4,82
76.9,83
76.9,84
76.9,83
76.9,84
70,82
75,83
68.6,81
100,84
100,84
100,84
100,84
100,84
100,84
80,83
80,83
80,83
88.9,84
88.9,83
88.9,83
88.9,84
88.9,83
88.9,84
106.7,83
106.7,84
106.7,84
106.7,83
106.7,83
106.7,84
106.7,84
106.7,85
77.3,81
80.8,82
85,80
70,82
70,81
70,84
70,82
70,82
70,84
71.4,82
77.3,83
77.3,84
77.3,83
77.3,83
81.3,82
81.3,84
81.3,83
87.5,83
87.5,84
87.5,83
82.4,82
82.4,83
82.4,84
65,82
65,82
65,82
65,82
71.4,83
71.4,83
71.4,82
71.4,82
71.4,83
71.4,82
71.4,83
71.4,84
70,82
70,82
70,84
70,82
70,82
70,84
100,84
100,84
88.9,82
88.9,82
106.7,84
88.9,82
88.9,84
88.9,84
70,81
70,81
70,80
80.8,83
80.8,83
80.8,82
106.7,82
77.3,83
81.3,84
81.3,85
75,83
77.3,82
80,83
88.9,83
78.6,85
80,82
70.8,84
70.8,83
75,83
71.4,83
71.4,82
71.4,84
71.4,83
77.3,82
77.3,84
77.3,82
79.2,83
79.2,83
79.2,85
79.2,83
77.3,83
77.3,83
80.8,84
80.8,84
80.8,83
78.6,83
78.6,83
70,82
71.4,82
75.7,85
78.6,84
73.1,82
76.9,85
80.8,84
77.8,82
82.2,85
86.1,84
80,82
100,82
100,84
94.1,84
94.1,86
72.2,82
72.2,82
71.4,82
75,83
75,82
66.7,82
66.7,83
95.3,82
84.2,81
100,83
94.1,83
94.1,82
76.9,83
66,81
100,82
78.9,83
66.7,82
66.7,84
71.4,84
66,83
66,82
66,84
88.9,82
88.9,84
88.9,83
80.8,83
83.1,83
89.2,85
92.3,85
84.8,85
80,81
100,82
80,82
82,82
84,83
88.9,83
87,82
87,82
100,84
88.9,85
94.1,82
94.1,82
94.1,82
80,83
80,84
66.7,82
71.4,81
71.4,83
70,81
71.4,82
71.4,87
70.8,82
70.8,83
77.3,83
77.3,82
71.4,82
71.4,83
71.4,82
71.4,82
78.6,83
106.7,84
106.7,85
88.9,83
88.9,82
88.9,84
88.9,83
80,81
70,81
70,83
94.1,81
80,84
70,82
100,82
100,82
100,82
100,83
78.6,81
81.4,82
100,82
110.3,81
110.3,83
110.3,83
81.8,81
81.8,82
81.8,83
85.5,84
111.1,81
111.1,83
111.1,84
84.2,81
76.9,83
76.5,81
80.6,82
83.5,84
77.8,82
84.2,83
92.2,84
84.2,82
84.2,85
85.1,85
100,83
100,83
100,83
100,85
66.7,82
66.7,82
66.7,83
66.7,83
80,82
80,83
91.7,83
76.1,83
78.6,85
88.9,83
91.1,82
95.6,85
88.9,83
91.1,83
95.6,85
78.9,82
81.1,83
84.2,83
87.4,81
81.3,83
83.8,83
81.7,83
84.3,83
72.7,82
74.5,82
77.6,82
80,84
80,83
80,84
80,85
75,83
77.1,84
84.6,83
80,84
80,82
80,83
71.4,81
66.7,81
66.7,82
89.3,81
89.3,81
70,82
80,84
83.3,83
80,81
83.3,83
86.7,86
75,82
100,82
100,81
97.3,82
77.3,84
94.2,83
80,83
80,84
80,85
80,84
80,84
80,85
84.2,84
75,83
84.6,86
84.6,82
80,84
83.3,83
84.2,80
72.2,84
79.4,83
94.1,82
60,81
106.7,83
106.7,85
83.3,83
77.1,84
84.6,83
80,84
80,82
80,83
100,82
82.5,82
75,82
70,82
100,81
90,84
75,81
77.5,82
85,81
75,81
77.5,82
82.2,84
80,83
76.9,85
84.4,81
84.8,83
95.6,81
80,83
80,84
80,85
80,84
80,84
80,85
84.2,84
94.1,81
94.1,82
75,83
84.6,86
91.7,81
95.8,82
75,83
75,83
84.4,81
84.8,83
84.6,82
76.9,81
76.9,83
77.1,81
77.1,82
77.1,84
84.6,83
121.2,83
121.2,83
124.2,86
94.1,82
80,83
74.3,82
71.4,82
71.4,83
74.3,83
71.4,82
71.4,82
71.4,81
80,83
80,83
80,82
80,83
80,83
80,83
80,82
80,83
80,83
80,82
80,82
80,84
81.3,83
81.3,86
80,82
80,84
80.9,83
80.9,85
78.3,82
97.6,95
111.1,81
111.1,81
114.3,82
111.1,81
83.8,82
83.8,84
71.4,83
71.4,83
74.3,85
74.3,83
78.6,84
71.4,84
71.4,84
78.6,83
78.6,83
76.9,84
70,81
96.5,92
85.4,83
66.1,82
71.4,81
71.4,81
71.4,83
71.4,83
71.4,83
71.4,83
71.4,83
71.4,83
71.4,82
95.3,95
78.9,82
78.9,82
78.6,83
78.6,84
77.3,83
91.7,81
91.7,83
91.7,83
91.7,81
91.7,84
66.1,82
94.1,91
94.1,92
66.1,81
66.1,82
71.4,82
71.2,84
80,80
80,80
80,82
80,82
80,85
80,80
80,81
80,81
80,82
80,83
80,84
88.9,83
100,86
72.2,82
80.8,83
72.5,84
72.5,82
83.3,83
83.3,83
83.3,82
71.4,85
71.4,85
83.3,84
83.3,85
71.4,82
71.4,82
