eff,cri
90,94
90,93
90,91
90,94
90,94
90,92
90,92
90,92
90,92
90,91
90,92
90,92
90,92
90,92
90,92
90,91
90,92
90,92
90,91
90,93
90,92
90,91
90,93
90,93
90,92
89.5,92
89.5,92
89.5,92
89.5,92
89.5,92
89.5,92
89.3,92
89.3,92
89.2,98
89.2,98
89.2,98
88.9,94
88.9,94
88.9,96
88.9,94
88.9,92
88.9,91
88.9,95
88.9,95
88.9,93
88.9,93
88.9,93
88.9,91
88.9,91
88.9,94
88.9,94
88.9,94
88.9,95
88.9,94
88.9,91
88.9,93
88.9,92
88.9,92
88.9,92
88.9,91
88.9,92
88.9,92
88.9,92
88.6,92
88.6,92
88.6,92
88.6,92
88.5,92
88.5,92
88.5,93
88.5,93
88.5,93
88.5,93
88.5,93
88.5,93
88.4,98
88.4,98
88.4,98
88.4,98
88.4,98
88.4,98
88.4,98
88.4,98
88.4,98
88,93
88,94
88,92
87.9,93
87.7,93
87.5,93
87.5,92
87.5,91
87.5,93
87.5,92
87.5,96
87.5,96
87.5,92
87.5,93
87.5,93
87.5,95
87.5,94
87.5,93
87.5,98
87.5,93
87.5,96
87.5,96
87.5,94
87.5,92
87.5,92
87.5,93
87.5,93
87.5,93
87.5,94
87.5,93
87.5,91
87.5,91
87.5,94
87.5,92
87.5,92
87.5,93
87.5,91
87.5,91
87.5,90
87.5,92
87.5,93
87.5,93
87.5,91
87.5,91
87.5,92
87.5,93
87.5,93
87.5,93
87.5,94
87.5,93
87.5,91
87.5,93
87.5,93
87.5,92
87,91
87,91
87,92
87,92
86.7,96
86.7,96
86.7,96
86.7,96
86.7,94
86.7,93
86.7,93
86.7,93
86.7,95
86.7,95
86.7,95
86.4,98
86.4,98
86.4,98
86.4,92
86.4,98
86.4,98
86.4,98
86.4,98
86.4,98
86.4,98
86.2,93
86.2,93
86.2,98
86.2,98
85.7,91
85.7,93
85.7,93
85.7,93
85.7,95
85.7,95
85.7,94
85.7,94
85.7,93
85.7,93
85.7,93
85.7,93
85.7,93
85.5,93
85.2,98
85.2,98
85.2,98
85,93
85,92
85,94
85,93
