eff,cri
154.5,94
106.7,95
106.7,94
103.6,92
103.3,92
100,94
100,92
100,91
100,91
100,95
100,91
100,90
100,94
100,94
100,91
100,91
100,94
100,90
100,93
100,94
100,93
100,93
100,94
97.7,96
97.6,92
97.5,92
97.1,92
96.2,96
96.2,92
95.8,91
95.7,94
95.7,92
95.5,93
95.5,92
95.5,92
95.5,92
95.5,92
95.2,92
94.3,95
94.3,92
94.1,94
94.1,91
94.1,95
94.1,95
94.1,95
94.1,91
94.1,91
94.1,91
94.1,96
94.1,95
94.1,94
94.1,96
94.1,91
94.1,95
94.1,95
94.1,93
94.1,94
94.1,93
94.1,93
94.1,93
94.1,93
94.1,91
94.1,91
94.1,92
94.1,97
94.1,96
94.1,91
94.1,91
94.1,92
94.1,92
94.1,92
94.1,92
94.1,92
94.1,90
94.1,90
94.1,90
94.1,92
94.1,91
94.1,91
94.1,91
94.1,93
94.1,93
94.1,90
94.1,92
94.1,92
94.1,92
93.9,92
93.6,93
93.6,93
93.6,93
93.6,91
93.6,91
93.6,91
93.3,92
92.9,93
92.9,93
92.9,93
92.9,93
92.3,91
92.3,91
92.3,91
92.3,91
92.3,91
92.3,91
92.3,92
92.3,92
92.3,92
92.3,93
92.3,93
92.3,91
92.3,91
92.3,92
92.3,92
92.3,92
92.3,93
92.3,93
92.3,93
92.3,93
92.3,93
92.3,93
92.3,93
92.3,93
92.3,93
92.3,93
92.3,92
92.3,92
92.3,92
92.3,92
92.3,92
92.3,92
92.1,93
92.1,92
92.1,92
92.1,92
92.1,92
92.1,91
92.1,92
92.1,93
92.1,92
92.1,92
92.1,92
92.1,93
92.1,92
92.1,93
92.1,91
92.1,92
92.1,91
92.1,96
92.1,96
92.1,95
92.1,95
92.1,92
92.1,92
92.1,92
92.1,92
92.1,93
92.1,92
92.1,92
92.1,92
92.1,94
92.1,92
92.1,91
92.1,92
92.1,92
92.1,92
91.7,96
91.7,96
91.7,96
91.7,96
91.7,92
91.7,93
91.7,93
91.7,93
91.7,92
91.7,91
91.7,92
91.7,92
91.7,92
91.7,92
91.7,92
91.7,92
91.7,91
91.7,91
91.7,94
91.7,94
91.5,92
91.5,93
91.4,92
91.4,92
91.4,93
91.4,92
91.4,92
91.4,92
91.4,90
90.9,95
90.9,96
90.9,96
90.9,95
90.9,93
90.9,93
90.9,92
90.9,93
90.9,90
90.9,93
90.9,92
90.9,90
90.9,90
90.9,91
90.9,93
90.9,93
90.9,93
90.9,92
90.9,91
90.9,93
90.9,93
90.9,95
90.9,95
90.9,91
90.9,92
90.9,93
90.9,90
90.9,93
90.9,94
90.9,93
90.9,93
90.9,93
90.9,93
90.9,94
90.9,94
90.9,95
90.9,94
90.9,93
90.9,91
90.9,93
90.9,91
90.9,90
90.9,91
90.9,91
90.9,91
90.9,94
90.9,91
90.9,96
90.9,91
90.9,93
90.9,92
90.9,93
90.9,93
90.9,93
90.9,92
90.9,92
90.9,92
90.9,92
90.9,93
90.9,92
90.9,92
90.9,92
90.9,92
90.9,92
90.9,92
90.9,92
90.9,92
90.9,92
90.9,92
90.9,92
90.9,92
90.9,92
90.9,92
90.9,92
90.9,92
90.9,93
90.9,92
90.9,91
90.9,91
90.9,92
90.9,92
90.9,91
90.9,92
90.9,92
90.9,93
90.9,92
90.9,92
90.9,94
90.9,94
90.9,94
90.9,93
90.9,93
90.9,92
90.9,92
90.9,92
90.9,92
90.9,93
90.9,93
90.9,94
90.9,94
90.9,92
90.9,92
90.9,91
90.9,91
90.9,92
90.9,94
90.9,92
90.9,90
90.9,90
90.9,90
90.9,90
90.9,92
90.9,92
90.9,92
90.9,92
90.9,91
90.9,91
90.9,91
90.9,91
90.9,91
90.9,91
90.9,92
90.9,91
90.9,91
90.9,91
90.9,91
90.9,93
90.9,91
90.9,90
90.9,93
90.9,93
90.9,91
90.9,93
90.9,91
90.9,93
90.9,91
90.9,93
90.9,93
90.9,93
90.9,91
90.9,93
90.9,91
90.9,93
90.9,91
90.9,93
90.9,93
90.9,91
90.9,91
90.9,91
90.9,91
90.9,92
90.9,91
90.9,91
90.9,91
90.9,93
90.9,91
90.4,95
90.4,95
90.4,95
90.4,93
90.4,97
90.4,96
90.4,93
90.4,93
90.4,92
90.4,92
90.4,92
90.4,92
90.3,94
90.3,93
90.3,92
90.3,91
90.3,94
90.3,92
90.3,94
75,86
75,85
80,83
73.7,82
73.1,86
75,84
80,82
72.7,83
80,87
75,85
100,82
100,85
71.4,85
78.9,86
72.7,84
71.4,82
72.7,85
72.7,85
106.7,85
111.1,86
71,84
71,84
88.9,83
88.9,83
88.9,84
88.9,86
81.8,82
81.8,82
81.8,82
81.8,84
88.9,83
88.9,83
88.9,84
88.9,86
66.7,83
71.4,85
71.4,84
100,83
78.9,85
73.1,83
82.4,82
77.3,83
81.3,83
65,81
75,84
87.5,84
88.9,82
100,85
71.4,84
80,87
73.7,86
100,85
65,82
70,83
91.7,81
100,83
88.9,82
88.9,84
100,82
106.7,82
81.3,82
81.3,84
77.3,82
107.1,81
71.4,83
77.3,83
75,82
88.9,82
100,82
106.7,83
88.9,83
88.9,82
84.2,81
77.3,83
76.9,84
76.9,84
100,85
120,84
106.7,84
106.7,85
88.9,86
88.9,81
75,82
88.9,85
87.5,85
88.9,83
83.3,87
83.3,82
83.3,86
80.4,83
80.4,85
80.4,86
88.9,82
88.9,83
88.9,87
88.9,82
79.2,81
80,84
88.9,82
68,81
68,84
100,83
100,83
114.3,83
77.8,83
72,82
94.1,82
88.9,81
88.9,82
88.9,83
100,82
100,83
80,84
84.2,83
84.2,86
