i,flux
20,0.057383259
40,0.126532774
60,0.192741726
80,0.258947473
100,0.322214323
120,0.384013173
140,0.442824003
160,0.501660802
180,0.559115386
200,0.614937885
220,0.667916998
240,0.722356137
260,0.773957989
280,0.826945135
300,0.876954149
320,0.924020786
340,0.97379231
360,1.021236361
380,1.068236308
400,1.115421157
420,1.162066642
440,1.206482228
460,1.251845758
480,1.29599025
500,1.34011025
520,1.382913446
540,1.425436467
560,1.468628744
580,1.509607896
600,1.550737389
620,1.592016826
640,1.633112269
660,1.672664101
680,1.712432196
700,1.752264384
720,1.790290141
740,1.828648604
760,1.866852523
780,1.903806614
800,1.942234517
820,1.979040812
840,2.015943153
860,2.05227892
880,2.089230228
900,2.12482176
920,2.159370826
940,2.191939691
960,2.22733813
980,2.262665203
