i,flux
128,0.188620955
160,0.231204713
192,0.271966343
224,0.308405674
256,0.346484206
288,0.38324955
320,0.417446746
352,0.450788396
384,0.483179869
416,0.515220823
448,0.54619026
480,0.577211312
512,0.607706829
544,0.637633244
576,0.666133743
608,0.694975165
640,0.720839134
672,0.747599155
704,0.774945957
736,0.800107073
768,0.824011794
800,0.848438862
832,0.873417394
864,0.897394786
896,0.921187408
928,0.944946839
960,0.968955646
992,0.992502601
1024,1.013707154
1056,1.035622296
1088,1.058285411
1120,1.078750476
1152,1.098156198
1184,1.118977113
1216,1.140604549
1248,1.162121768
1280,1.185358349
1312,1.20231715
1344,1.221246342
1376,1.23957701
1408,1.258348062
1440,1.276132276
1472,1.293603117
1503.378368,1.312803291
101.273745,0.153646587
