i,flux
100,0.322290118
112,0.356039273
124,0.389788427
136,0.423537582
148,0.457286737
160,0.491035891
172,0.524785046
184,0.558534201
196,0.592283355
208,0.62603251
220,0.659781664
232,0.693530819
244,0.727279974
256,0.761029128
268,0.794778283
280,0.828527437
292,0.862276592
304,0.896025747
316,0.929774901
328,0.963524056
340,0.997273211
352,1.031022365
364,1.06477152
376,1.098520674
388,1.132269829
400,1.166018984
412,1.199768138
424,1.233517293
436,1.267266447
448,1.301015602
460,1.334764757
472,1.368513911
484,1.402263066
496,1.436012221
508,1.469761375
520,1.50351053
532,1.537259684
544,1.571008839
556,1.604757994
568,1.638507148
580,1.672256303
592,1.706005458
604,1.739754612
616,1.773503767
628,1.807252921
640,1.841002076
652,1.874751231
664,1.908500385
676,1.94224954
688,1.975998694
700,2.009747849
