cct,cri
5000,84
5000,84
5000,84
5000,84
4000,83
4000,83
2700,85
2700,85
2700,85
5000,84
5000,84
3000,83
3000,83
4000,83
4000,83
3000,82
4000,83
4000,83
3000,82
3000,84
5000,86
3000,81
4000,83
5000,83
3000,82
4000,82
5000,83
3000,83
5000,85
4000,84
2700,82
3000,82
4000,82
5000,85
2700,82
2700,81
3000,83
2700,82
4000,85
5000,86
3000,82
4000,82
5000,86
2700,81
3000,82
4000,82
5000,85
3000,84
5000,83
2700,81
3000,82
2700,81
3000,93
4000,92
4000,92
3000,93
3000,93
3000,83
4000,83
5000,84
3000,83
5000,82
2700,83
2700,83
2700,83
2700,82
2700,94
2700,94
5000,83
4000,83
5000,82
5000,84
3000,93
3000,93
4000,82
4000,82
5000,84
5000,84
3000,84
4000,86
5000,85
3000,83
3000,83
4000,83
4000,83
5000,86
5000,86
3000,84
5000,85
3000,82
5000,82
2700,82
3000,81
4000,82
5000,82
2700,81
3000,83
4000,82
3000,82
3000,82
2700,81
4000,94
4000,94
4000,94
4000,93
4000,93
4000,93
4000,93
4000,93
4000,93
3500,94
3500,94
3500,94
3000,93
3000,93
3000,93
3000,93
3000,93
3000,93
5000,95
5000,95
2700,94
2700,94
5000,95
4000,94
3000,94
3000,94
