cct,cri
3000,81
3000,84
2700,81
3000,82
4000,85
5000,84
3000,84
3000,83
2700,82
3000,83
3000,83
5000,92
5000,92
4000,92
4000,92
3000,92
3000,82
4000,83
5000,98
2700,93
4000,84
2700,83
3000,84
4000,83
5000,84
5000,93
3000,94
2700,93
4000,96
4000,96
3000,84
3000,92
2700,91
3000,82
3000,82
4000,93
3000,93
3000,94
3000,93
2700,92
2700,92
2700,92
2700,93
2700,93
2700,93
3000,94
3000,94
3000,82
3500,93
2700,91
3000,94
3000,91
3000,91
2700,92
2700,92
5000,97
5000,97
3000,93
3000,93
3000,93
5000,94
2700,83
3000,83
5000,83
