wavelength,intensity
394.1262136,0.002352941
401.5533981,0.004705882
406.5722616,0.008450579
411.1650485,0.011764706
416.407767,0.017647059
420.2075839,0.025428695
424.3489711,0.03913904
427.606019,0.05225154
429.5843097,0.064939871
431.0492258,0.07847654
432.5582368,0.09247768
433.6793922,0.106083708
434.5823362,0.119963275
435.342314,0.133457861
436.2941674,0.147418477
437.1783001,0.163030457
438.1188667,0.18316216
438.8063354,0.201845352
439.5687864,0.217607314
440.0376227,0.232570126
440.3762267,0.244727411
441.0760082,0.261301843
441.6177746,0.283307795
442.4144899,0.306801077
443.1448122,0.327767135
443.8751346,0.350906098
444.7404559,0.371011207
445.4929092,0.38635978
446.9752422,0.401638993
448.7690909,0.411318685
451.5848869,0.392625457
452.3662808,0.376423537
453.3039534,0.362466039
454.7104622,0.348999508
456.1777462,0.333855506
457.7353245,0.320041791
459.7982042,0.308132327
462.0845047,0.293001963
463.8753436,0.279760653
465.5457899,0.26637172
467.2162363,0.253338821
468.9318298,0.23944659
472.0390194,0.227939631
476.3811176,0.226650686
480.3314975,0.237888938
483.3789334,0.250642398
486.1051296,0.263617961
488.836433,0.27744481
490.8282212,0.289899322
492.6606663,0.303153892
494.5528651,0.316246438
496.471621,0.330199878
498.4766878,0.343129905
500.0833969,0.35638102
502.9427195,0.369582727
505.3881928,0.384232255
507.7584207,0.398317579
510.1286486,0.411477599
513.1760845,0.425052677
516.3363884,0.438636105
519.4966923,0.45193898
522.4312603,0.46468075
525.6977929,0.476055512
528.5261321,0.490725394
531.4607,0.503163232
534.5081359,0.516638113
537.5145289,0.532353772
539.2572739,0.541902888
541.9574237,0.556080542
544.5533876,0.568166449
547.1171035,0.586361589
549.561905,0.599169252
551.5246462,0.611859536
553.2355412,0.624619184
554.9372433,0.637492138
556.7854567,0.650875704
558.6393136,0.664133477
560.1465355,0.678181375
561.6919588,0.690923145
563.2894751,0.704405749
564.982495,0.718210238
566.562647,0.730736583
568.0472952,0.743456643
569.7003773,0.757805357
571.2944207,0.771862607
572.7252396,0.784429811
574.4373603,0.798094287
575.8178227,0.811403096
577.6834643,0.826952461
579.5424666,0.839978471
581.1226185,0.853361616
583.5791573,0.867841896
585.1511378,0.880366375
587.2819864,0.894013261
589.7167103,0.908384908
591.8758604,0.919346201
594.6667781,0.933883366
598.052818,0.94480466
602.3418019,0.959604707
607.0822578,0.96862136
611.8227136,0.970604156
616.5631695,0.976827528
621.3036254,0.984860019
625.4797412,0.990101944
632.929029,0.995625488
637.8885816,0.985928464
641.2299571,0.969633152
642.3422199,0.957124042
644.1029607,0.943532487
645.6657483,0.929767034
646.8117926,0.915809536
647.8401455,0.902368982
649.0691525,0.887037295
650.1978325,0.873069081
651.1007765,0.859886025
652.1165885,0.846148294
653.0356564,0.830708542
654.0102626,0.815444395
654.8254204,0.801531058
655.5187524,0.788896166
656.3249523,0.776087598
657.2708936,0.761040545
658.2867056,0.744847717
659.0015363,0.731140379
660.0173482,0.715594251
660.8074242,0.70153739
661.5975002,0.689684037
662.1618402,0.67722282
663.2152748,0.66
665.4368932,0.629411765
666.7475728,0.609411765
668.4951456,0.588235294
669.8058252,0.568235294
671.1165049,0.544705882
672.4271845,0.528235294
673.7378641,0.508235294
675.0485437,0.489411765
676.3592233,0.470588235
677.6699029,0.452941176
678.9805825,0.435294118
680.2912621,0.42
681.1650485,0.404705882
682.4757282,0.390588235
685.5339806,0.358823529
686.8446602,0.344705882
687.7184466,0.328235294
689.4660194,0.311764706
691.2135922,0.292941176
693.3980583,0.274117647
694.7087379,0.257647059
697.7669903,0.238823529
700.3883495,0.223529412
703.4466019,0.207058824
705.1941748,0.195294118
707.6476428,0.183637054
710.3081028,0.16722472
712.801948,0.154054328
715.3226666,0.141365162
718.1443665,0.128531823
721.3046704,0.116204648
724.9164463,0.103166556
729.3182982,0.090139935
732.9040276,0.080206615
740.6050979,0.062824036
748.0097087,0.047058824
754.1262136,0.038823529
760.2427184,0.030588235
765.9223301,0.024705882
771.5685516,0.019311087
774.2397609,0.017994048
782.0873786,0.012941176
789.0776699,0.008235294
796.9417476,0.003529412
