cri,3500,5500
0,478.40,429.30
30,458.80,412.00
40,451.60,405.70
50,444.10,399.30
70,427.70,385.10
80,416.40,375.50
85,409.70,370.10
90,400.60,362.90
95,386.60,349.30
97,376.70,339.40
99,358.90,327.80
