cct,70,80,90
1200,353.80,334.20,301.50
1500,400.20,383.20,355.30
2000,436.80,421.90,398.20
2856,440.60,428.30,410.40
3500,427.70,416.40,400.60
4000,416.10,405.40,390.70
4500,404.90,394.50,380.70
5000,394.50,384.50,371.40
5500,385.10,375.50,362.90
6500,369.50,360.50,348.70
7500,357.20,348.70,337.50
8500,347.60,339.40,328.70
10000,336.70,328.90,318.70
