year,policies
2000,9
2002,11
2003,12
2004,14
2005,32
2006,194
2007,272
2008,323
2009,449
2010,534
2011,575
2012,611
2013,618
2014,634
2015,789
2016,868
2017,943
2018,948
2019,963
