t,intensity
0.064342695,0.916844134
0.475351006,0.93745512
0.886406454,0.957391109
1.297532607,0.976314602
1.749985847,0.994059207
2.244626418,0.998306222
2.740072241,0.991022033
3.235576985,0.982894098
3.731847701,0.963797456
4.145737241,0.943149232
4.518240774,0.924523643
4.766556822,0.912387832
5.884481831,0.850576714
6.380654344,0.832886316
6.876551894,0.819133403
7.371526351,0.818599188
7.866108001,0.823689949
8.359943321,0.839468169
8.853641159,0.85721513
9.305866572,0.878222221
9.675783479,0.896637109
10.16889211,0.922821537
10.66221678,0.945912227
11.1143597,0.968100564
11.56669117,0.987588911
12.06088002,0.998304651
12.55603124,0.995239195
13.05153598,0.98711126
13.54761029,0.970827107
14.00268355,0.951053111
14.37519297,0.932343147
14.70633799,0.915346445
15.07909685,0.89306462
15.49302764,0.871825773
15.94826194,0.849745537
16.44449338,0.831211393
16.94029272,0.818864724
17.43520826,0.819174255
17.92975063,0.824827515
18.42350739,0.841730729
18.8759567,0.859531584
19.28712999,0.877780079
19.69827971,0.896366073
20.10914661,0.919002052
20.56127382,0.941415387
21.05451993,0.965631073
21.54800173,0.986471772
22.04199417,1
22.53726323,0.995247051
23.03266977,0.98852536
23.52866553,0.973366203
23.98371128,0.953985955
24.3976185,0.933084607
24.77045199,0.909734037
25.1428966,0.891952194
25.55687452,0.87003835
25.92930735,0.852425257
26.34298085,0.834870771
26.83879984,0.822242853
27.33391178,0.819739895
27.82855235,0.82398691
28.32238767,0.83976513
28.81608551,0.857512091
29.3094691,0.879759034
29.72062864,0.898204404
30.13149358,0.920868507
30.58367185,0.942550596
30.99468016,0.963161582
31.44692129,0.983943674
31.94081553,0.998878147
32.43588819,0.996937687
32.93125545,0.990778494
33.42701552,0.978994323
33.88203771,0.959951574
34.29592136,0.939387724
34.668419,0.92084651
35.08267188,0.894995182
35.53792583,0.872633696
35.95183304,0.851732348
36.4066824,0.835164589
36.90256031,0.821692925
37.39763297,0.819752465
37.89217534,0.825405725
38.38599102,0.841465193
38.87962993,0.860055901
39.29081893,0.878079397
39.70194901,0.89694664
40.11276485,0.920313865
40.52379673,0.940587353
40.97596715,0.962381941
41.38711687,0.980967936
41.83965653,0.997475045
42.33443458,0.999753318
42.82984112,0.993031627
43.32560119,0.981247456
43.7803877,0.965579694
44.19422421,0.945690842
44.64957243,0.921979362
45.10514062,0.895117894
45.51909497,0.873541549
45.97427035,0.852305059
46.47042323,0.83489591
46.9662815,0.821705495
47.46127559,0.82089003
47.95579832,0.826824539
48.44957472,0.843446505
48.90207117,0.860572362
49.31315019,0.880170852
49.68313191,0.897657619
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
