t, intensity
0.081119597,0.995845342
0.63534173,0.995180574
1.224444975,0.993349152
1.668210249,0.989870245
1.673248632,0.981255861
1.723632462,0.972641281
1.774016292,0.964345475
1.81936174,0.956665336
1.81936174,0.948914087
1.81936174,0.941162839
1.81936174,0.93341159
1.81936174,0.925660342
1.824400123,0.917923258
1.86974557,0.910148772
1.86974557,0.902407311
1.894937485,0.894717937
1.894937485,0.885784123
1.923728245,0.873925314
1.925167783,0.86339113
1.97051323,0.845859859
1.97051323,0.83810861
1.97051323,0.830357362
1.97051323,0.822606113
1.995705145,0.85463322
1.995705145,0.814936313
2.000285494,0.80690652
2.010820294,0.798084553
2.043125221,0.786004255
2.053286666,0.766245356
2.105633502,0.773682277
2.128535243,0.757379356
2.152454839,0.74875652
2.251822949,0.739930119
2.257701062,0.730053232
2.298008127,0.721570493
2.298008127,0.713654265
2.348391957,0.692239779
2.348391957,0.684557039
2.355109801,0.70248679
2.378622255,0.675302946
2.378622255,0.642853401
2.398775787,0.666725967
2.398775787,0.658615864
2.398775787,0.650890714
2.40437399,0.582773761
2.423967702,0.621608577
2.423967702,0.613857328
2.423967702,0.60610608
2.423967702,0.590603583
2.427566547,0.632228845
2.449159617,0.59815945
2.474351532,0.56541274
2.479389915,0.549663683
2.499543447,0.574186101
2.499543447,0.557789079
2.52053671,0.539928229
2.524735363,0.530356671
2.524735363,0.522605423
2.529773746,0.514537149
2.578718038,0.503580396
2.580157576,0.493377962
2.701078768,0.482178116
2.731309066,0.449493275
2.737067219,0.467796034
2.751462599,0.457592975
2.770356535,0.43818538
2.78999141,0.423079561
2.791769663,0.409276561
2.827038344,0.388812591
2.827038344,0.381061342
2.833908866,0.398045322
2.852230259,0.37337896
2.852230259,0.365297752
2.852230259,0.357524133
2.852230259,0.349772884
2.852230259,0.342060784
2.852230259,0.334270387
2.852230259,0.326558286
2.852230259,0.317442206
2.877422174,0.299850112
2.877422174,0.292098863
2.882460557,0.26844001
2.891417682,0.308120266
2.902614089,0.284240316
2.902614089,0.276496058
2.902614089,0.243321914
2.914469108,0.256830172
2.927806004,0.224880147
2.934103983,0.218166262
2.978189835,0.198821063
2.978189835,0.191069814
2.983228218,0.183001541
2.985060357,0.233069187
