flux,imi
612,0.01
615,0.01
616,0.02
618,0.7
618,0.01
619,0
619,0
619,0.29
619,0
620,0.86
621,0.99
627,0.16
627,0.17
629,0.01
633,0.03
633,1
636,0.27
636,1
636,1
639,0
640,0
644,0.15
646,0.03
647,0.14
647,0.01
647,0.01
647,0
650,0.06
650,0.4
651,0.22
654,0
655,0.2
656,0.42
657,0.47
657,0
658,0
665,0.02
678,0.03
678,0
680,0.1
680,0.25
685,0.13
686,0.44
689,0
692,0
692,0
693,0.34
697,0
698,0
699,0
699,0.45
702,0
702,0.01
703,0.11
703,0.04
704,0
705,0
706,0.1
709,0
709,0
710,0.24
713,0
716,0.1
717,0.06
719,0.01
720,1
721,0
722,1
723,0.1
725,0.24
726,0.01
727,0.14
729,0.37
732,0.15
733,0.23
733,1
736,0
737,0
738,0
739,0.02
740,0.01
740,0
742,0.23
743,0
746,0
747,0.05
747,0.24
747,0.23
750,0.15
751,0.01
753,0.01
753,1
754,0.29
757,0
760,0.04
765,0.1
767,0.67
768,0.16
771,0.3
775,0.12
776,0
776,0.16
780,0.53
783,0
784,1
786,0.3
788,0.67
790,0.53
791,0
792,0.4
794,0.02
796,0.04
798,0.18
800,0.22
804,0.05
805,0.07
810,1
811,0
812,0.33
813,0.01
817,0.02
821,0.14
821,0.01
822,0.6
823,0.06
826,1
826,0
831,0.54
832,0.07
833,0
834,0.01
836,0.11
837,0.6
841,0.01
842,0.38
842,0.01
843,0.17
844,0
845,0.38
845,0.3
853,1
854,0.13
854,0.06
854,0.81
859,0.12
863,0.15
863,0
866,0.14
867,0.37
869,0.1
869,0.29
873,0.01
873,0.33
874,0
876,0.38
878,0.48
880,0.11
881,0.07
881,0.23
882,0
883,0.6
884,0.59
886,0.5
888,1
888,0
889,0
890,0.39
891,0.11
892,0.01
895,0.29
896,0.11
896,0.21
898,0.22
898,0.01
899,0.07
901,0.29
902,0.17
902,0.37
902,0
905,0.07
907,0.19
910,0.09
910,0.52
914,0
915,0
917,0.18
919,0.39
919,0.5
920,0.07
920,0.23
921,0.09
921,0.25
923,0.01
929,0.07
933,0.2
935,0.11
936,0.06
939,0
939,0
941,0
941,0
941,0.01
943,0.14
945,0
948,0.24
950,0.11
954,0.12
958,0.07
961,0.03
964,0.21
965,0.09
965,0.17
967,0
970,0.5
973,0.12
975,0.53
976,0.97
978,0.41
979,0.27
982,0
983,0.08
983,0.38
983,2
988,1
988,1
991,0
996,0.42
998,0.16
1000,0.09
1000,0.51
1005,0.07
1007,0
1008,0.35
1008,0.63
1008,0.5
1010,0.35
1010,0
1013,0.29
1018,0
1019,0.16
1022,0.01
1024,0.39
1029,0.62
1030,0.26
1031,0.82
1035,0.5
1036,0.19
1037,0.01
1037,0
1038,0
1042,0.48
1047,0.5
1052,0.01
1058,0.64
1062,0.01
1064,0
1064,0
1066,0.46
1069,0
1076,0.21
1077,0.63
1079,0.07
1081,0.08
1082,0.01
1082,0
1085,0.01
1086,0.59
1088,0
1089,0.08
1093,0.17
1094,0
1099,0.41
1107,0
1108,0.35
1110,0.63
1110,0
1123,0.29
1123,0.57
1128,0.5
1128,0.01
1131,0
1135,0
1138,0.18
1143,0
1146,0.57
1149,0.51
1151,0
1151,0.33
1152,0.01
1158,0.01
1160,0.01
1173,0.18
1177,0.23
1181,0
1187,0
1191,0.21
1192,0.61
1194,0.37
1198,0.13
1200,0.32
1203,0.32
1209,0
1209,0
1211,0.18
1211,0.01
1211,0.22
1212,0
1214,0.05
1214,0.56
1220,0.33
1221,0.82
1222,0
1222,0.7
1225,0.15
1229,0.72
1230,0.38
1232,0.3
1233,0.11
1233,0.08
1233,0.33
1233,0.01
1234,0.38
1245,0.01
1248,0.08
1249,0.16
1257,0.63
1259,0.16
1260,0.28
1260,0
1262,0.72
1265,0.28
1269,0.32
1271,0.55
1286,0.2
1286,0.57
1287,0.6
1292,0.24
1297,0.43
1310,0.43
1310,0.24
1312,0.08
1314,0.03
1316,0.15
1318,0.44
1323,0.8
1335,0.15
1335,0.06
1336,0.06
1336,0.34
1342,0.06
1346,0.02
1347,0.39
1349,0.02
1360,1
1361,1
1361,0.15
1367,0.12
1371,0.78
1372,0.29
1392,0.09
1396,0.18
1397,0.08
1398,0.11
1399,0.12
1407,0.01
1408,0.36
1411,0.5
1411,0.84
1412,0
1413,0.01
1414,0.14
1416,0.01
1420,0.07
1422,0.32
1422,0.09
1428,0.1
1429,0.23
1432,0.64
1436,0.63
1442,0.78
1443,0.28
1449,0.33
1455,0.14
1461,0.01
1462,0.21
1463,0.13
1474,0.01
1474,0
1476,0.12
1479,0.12
1483,0
1485,0.52
1489,0.12
1494,0.19
1502,0.05
1502,0.02
1503,0.09
1515,0
1517,0.57
1521,0.24
1525,0.21
1525,0.03
1527,0.13
1528,0.59
1529,0.01
1532,0.57
1533,0.06
1533,0.5
1537,0.52
1541,0.08
1543,0.52
1546,0.21
1550,0.32
1553,0.44
1553,0.09
1557,0.52
1560,0.12
1573,0.43
1575,0.42
1579,0.15
1580,0
1582,0
1583,0.58
1588,0
1589,0.44
1590,0.08
1590,0.33
1598,0.22
1602,0.07
1604,0.35
1605,0.09
1607,0.4
1609,0.48
1610,1
1613,0.18
1616,0
1626,0.36
1631,0
1635,0
1637,0.18
1639,0.1
1641,0.15
1642,0.23
1642,0.01
1644,0.04
1647,0.22
1652,0.18
1653,0.1
1654,0.25
1654,0.49
1662,0.02
1662,0.19
1664,0.02
1671,0.17
1671,0.23
1671,0.01
