flux,cfd
480,57
820,60
1800,1
3400,29
900,2
1200,9
1100,10
1100,2
900,3
1200,1
600,1
850,2
500,1
1100,1
1000,2
1700,2
6400,1
1000,3
1500,31
1700,1
680,2
600,1
600,81
1100,1
1600,76
1050,114
2700,1
3650,1
3750,1
3700,39
1600,28
650,89
2000,59
1055,74
2000,19
1800,24
2780,1
4000,1
1200,1
1200,1
450,111
1700,27
470,22
950,94
1300,75
400,76
1000,128
900,135
1300,132
