cri,eff,cct,label
83.10020625,291.3922514,5679.755813,YAG:Ce$^{3+}$
89.60700039,305.517417,2886.091161,YGAG
90.21233055,286.2526268,3216.169983,258
82.57882807,322.18252,2911.055923,SLA
97.03849313,334.5594584,2923.725665,PFS
91.71504544,296.9998187,2844.091094,QD
91.72437373,312.4276573,3137.529016,QD
