index,y,label
0,0.9325,1W
1,0.6325,-0.300
2,0.3175,-0.315
3,0.1828,-0.135
4,0.0827,-0.100
5,0.0808,-0.002
6,0.0651,-0.010
7,0.0393,-0.027
8,0.0235,-0.013
9,0.0198,-0.004
10,0.0136,-0.006
11,0.0110,-0.005
12,-0.0095,-0.018
13,0.0582,0.063W
