year,pack,subst,epi,wafer,phos
2008,64.7,8.8,8.2,3.4,12
2009,64,11,11,12,2
2010,40,10,20,20,10
2011,54,15,12,12,7
2013,63,12,9,8,8
2014,61,7,11,13,8
2015,30,11,23,28,8
2016,26,7,30,29,8
