frequency, sensitivity
5.020689655,0.61496771
7.434482759,0.763438528
9.944827586,0.915445352
12.45517241,0.995014012
14.96551724,0.957974899
17.66896552,0.822000731
19.9862069,0.68425003
22.0137931,0.571227001
24.91034483,0.433490922
30.8,0.249893993
39.97241379,0.092881686
50.4,0.026007067
59.95862069,0.012114049
