index,y,label
0,0.9325,1W
1,0.7825,0.850
2,0.5275,0.595
3,0.3490,0.417
4,0.2657,0.333
5,0.2615,0.329
6,0.2383,0.306
7,0.1777,0.245
8,0.1480,0.215
9,0.1399,0.207
10,0.1269,0.194
11,0.1150,0.183
12,0.0588,0.126
13,0.1267,0.127W
