index,y,label
0,0.9575,
1,0.8075,15\%
2,0.5525,30\%
3,0.3740,30\%
4,0.2907,20\%
5,0.2865,20\%
6,0.2633,10\%
7,0.2027,29\%
8,0.1730,20\%
9,0.1649,10\%
10,0.1519,18\%
11,0.1400,20\%
12,0.0838,22\%
13,0.2105,
