year,papers
2019,64
2018,65
2017,67
2016,48
2015,52
2014,41
2013,42
2012,30
2011,43
2010,19
2009,4
2008,8
2007,9
2006,7
2005,3
2004,9
2003,5
2002,3
2001,6
2000,5
1999,7
1998,3
1997,2
1996,1
1995,1
1994,2
1993,6
1992,0
1991,2
1990,0
1989,1
1988,1
1987,1
1986,1
1985,0
1984,0
1983,1
1982,0
1981,0
1980,2
1979,0
1978,1
1977,3
1976,1
1975,1
1974,0
1973,1
1972,0
1971,0
1970,0
